Part	PartName	Chapter	ChapterName
1	生活常识和社交篇	1	居家生活
1	生活常识和社交篇	2	个人情况
1	生活常识和社交篇	3	个人健康
1	生活常识和社交篇	4	日常活动
1	生活常识和社交篇	5	就医
1	生活常识和社交篇	6	文艺爱好
1	生活常识和社交篇	7	休闲爱好
1	生活常识和社交篇	8	户外活动
1	生活常识和社交篇	9	体育活动
1	生活常识和社交篇	10	情绪感受
1	生活常识和社交篇	11	人际关系
1	生活常识和社交篇	12	会话技巧
1	生活常识和社交篇	13	交际场合
1	生活常识和社交篇	14	度量衡
2	旅游篇	1	行前事宜
2	旅游篇	2	上飞机前
2	旅游篇	3	在飞机上
2	旅游篇	4	下飞机后
2	旅游篇	5	酒店住宿
2	旅游篇	6	出行方式
2	旅游篇	7	自驾游
2	旅游篇	8	交通
2	旅游篇	9	饮食就餐
2	旅游篇	10	观光
2	旅游篇	11	购物·穿戴
2	旅游篇	12	商场购物
2	旅游篇	13	购物·礼物
2	旅游篇	14	旅途中的麻烦
3	职场篇	1	个人背景
3	职场篇	2	求职面试
3	职场篇	3	公司构成
3	职场篇	4	脑力劳动
3	职场篇	5	生产劳动
4	学术篇	1	学科类型
4	学术篇	2	学术领域
4	学术篇	3	学校与教育
4	学术篇	4	学校生活
5	自然人文篇	1	地球
5	自然人文篇	2	生物
5	自然人文篇	3	自然灾害
5	自然人文篇	4	自然物质
5	自然人文篇	5	节日
